,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mataura,-46.1927,168.8643,66.25,67,100,1.86,NZ,1649127600
1,Port-Gentil,-0.7193,8.7815,80.22,83,99,8.81,GA,1649127600
2,Port Alfred,-33.5906,26.891,62.51,78,0,8.95,ZA,1649127600
3,Buala,-8.145,159.5921,80.2,88,100,12.19,SB,1649127600
4,Cape Town,-33.9258,18.4232,60.58,90,75,10.96,ZA,1649127600
5,Bariloche,-41.1456,-71.3082,47.95,71,40,8.55,AR,1649127600
6,Bluff,-46.6,168.3333,62.11,84,100,6.44,NZ,1649127600
7,Bredasdorp,-34.5322,20.0403,57.11,84,17,5.7,ZA,1649127600
8,Nampula,-15.1165,39.2666,71.55,100,20,2.75,MZ,1649127600
9,Cherskiy,68.75,161.3,0.5,85,24,4.38,RU,1649127600
10,Chokurdakh,70.6333,147.9167,-5.91,91,15,10.07,RU,1649127600
11,Okhotsk,59.3833,143.3,27.27,87,100,4.5,RU,1649127600
12,Albany,42.6001,-73.9662,40.35,70,99,4.12,US,1649127600
13,Itaituba,-4.2761,-55.9836,73.22,99,100,1.21,BR,1649127600
14,Busselton,-33.65,115.3333,67.93,42,0,7.4,AU,1649127600
15,Thai Binh,20.45,106.3333,73.18,57,66,8.72,VN,1649127600
16,Markova,48.6758,24.4138,33.49,61,82,14.5,UA,1649127600
17,Qaanaaq,77.484,-69.3632,28.65,72,100,9.98,GL,1649127600
18,Kilkenny,52.6542,-7.2522,49.96,78,100,17.85,IE,1649127600
19,Hilo,19.7297,-155.09,74.61,78,75,5.73,US,1649127600
20,Wanning,18.8003,110.3967,75.7,75,85,11.1,CN,1649127600
21,Lavrentiya,65.5833,-171.0,1.08,84,12,11.01,RU,1649127600
22,Ribeira Grande,38.5167,-28.7,59.99,74,44,8.7,PT,1649127600
23,Eureka,40.8021,-124.1637,52.77,88,100,6.46,US,1649127600
24,Harstad,68.799,16.5293,22.21,75,12,3.51,NO,1649127600
25,Acapulco de Juárez,16.8634,-99.8901,76.82,78,20,8.5,MX,1649127600
26,Bilma,18.6853,12.9164,81.34,7,14,6.51,NE,1649127600
27,Biu,10.6129,12.1946,82.67,10,87,0.34,NG,1649127600
28,Port Lincoln,-34.7333,135.8667,61.48,78,100,15.39,AU,1649127600
29,Ushuaia,-54.8,-68.3,35.26,93,100,5.17,AR,1649127600
30,Launceston,-41.45,147.1667,65.46,62,40,1.7,AU,1649127600
31,Gladstone,-23.85,151.25,82.33,57,5,10.33,AU,1649127600
32,Portland,45.5234,-122.6762,43.48,82,20,12.28,US,1649127600
33,Qingyang,37.4958,121.2581,64.47,42,100,14.92,CN,1649127600
34,Freire,-38.95,-72.6333,49.8,93,0,0.27,CL,1649127600
35,Atuona,-9.8,-139.0333,79.5,76,5,21.74,PF,1649127600
36,Coquimbo,-29.9533,-71.3436,61.79,88,0,1.74,CL,1649127600
37,Kavieng,-2.5744,150.7967,83.35,75,100,9.75,PG,1649127600
38,Bambous Virieux,-20.3428,57.7575,78.15,94,75,9.8,MU,1649127600
39,Chui,-33.6971,-53.4616,54.43,64,0,3.78,UY,1649127600
40,Richards Bay,-28.783,32.0377,68.9,85,3,6.53,ZA,1649127600
41,Bogorodskoye,56.55,37.8833,21.06,91,45,8.81,RU,1649127600
42,Vaini,-21.2,-175.2,80.76,83,75,20.62,TO,1649127600
43,Jamestown,42.097,-79.2353,40.86,52,100,4.9,US,1649127600
44,Torbay,47.6666,-52.7314,36.68,96,100,29.33,CA,1649127600
45,Rikitea,-23.1203,-134.9692,78.51,64,51,12.5,PF,1649127600
46,Mar del Plata,-38.0023,-57.5575,57.7,75,0,7.65,AR,1649127600
47,Pāthardi,19.1667,75.1833,91.4,19,42,5.79,IN,1649127600
48,Los Llanos de Aridane,28.6585,-17.9182,56.62,73,75,15.61,ES,1649127600
49,Punta Arenas,-53.15,-70.9167,38.57,81,75,22.55,CL,1649127600
50,Munirābād,15.3333,76.3333,82.89,53,76,10.33,IN,1649127600
51,Puerto Ayora,-0.7393,-90.3518,77.58,94,25,5.7,EC,1649127600
